Command sent time(UTC),Measurement received time (UTC),Device,Device time (UTC),Particulate measurement,Connected OpenHAP units
2021-06-24 15:14:14,2021-06-24 15:14:18,40:f5:20:5b:21:c8,2021-06-24 15:14:13,8.2,21
2021-06-24 15:14:14,2021-06-24 15:14:18,40:f5:20:5b:20:d8,2021-06-24 15:14:13,7.25,21
2021-06-24 15:14:14,2021-06-24 15:14:18,40:f5:20:5b:20:e0,2021-06-24 15:14:12,7.45,21
2021-06-24 15:14:14,2021-06-24 15:14:18,40:f5:20:5b:20:dc,2021-06-24 15:14:13,8.3,21
2021-06-24 15:14:14,2021-06-24 15:14:18,40:f5:20:5b:20:ec,2021-06-24 15:14:13,9.05,21
2021-06-24 15:14:14,2021-06-24 15:14:18,40:f5:20:5b:20:e4,2021-06-24 15:14:13,8.75,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:20:f4,2021-06-24 15:14:13,8.35,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:20:c4,2021-06-24 15:14:13,8.25,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:20:c0,2021-06-24 15:14:13,8.4,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:00,2021-06-24 15:14:13,8.4,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:74,2021-06-24 15:14:13,7.8,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:cc,2036-02-06 06:28:16,8.0,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:20:e8,2021-06-24 15:14:13,8.8,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:d8,2021-06-24 15:14:13,7.5,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:20:bc,2021-06-24 15:14:13,8.4,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:d0,2021-06-24 15:14:13,7.65,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:a4,2021-06-24 15:14:14,7.25,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:94,2021-06-24 15:14:13,9.2,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:9c,2021-06-24 15:14:13,8.3,21
2021-06-24 15:14:14,2021-06-24 15:14:19,40:f5:20:5b:21:8c,2021-06-24 15:14:13,7.7,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:21:9c,2021-06-24 15:14:23,8.45,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:21:8c,2021-06-24 15:14:23,7.8,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:21:c8,2021-06-24 15:14:23,8.5,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:20:d8,2021-06-24 15:14:23,7.25,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:20:e0,2021-06-24 15:14:22,7.4,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:20:dc,2021-06-24 15:14:23,8.5,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:20:ec,2021-06-24 15:14:23,8.8,21
2021-06-24 15:14:22,2021-06-24 15:14:28,40:f5:20:5b:20:e4,2021-06-24 15:14:23,8.55,21
2021-06-24 15:14:22,2021-06-24 15:14:29,40:f5:20:5b:21:00,2021-06-24 15:14:23,8.35,21
2021-06-24 15:14:22,2021-06-24 15:14:29,40:f5:20:5b:20:c0,2021-06-24 15:14:23,8.0,21
2021-06-24 15:14:22,2021-06-24 15:14:29,40:f5:20:5b:20:f4,2021-06-24 15:14:23,8.3,21
2021-06-24 15:14:22,2021-06-24 15:14:29,40:f5:20:5b:20:c4,2021-06-24 15:14:23,8.05,21
2021-06-24 15:14:22,2021-06-24 15:14:29,40:f5:20:5b:21:74,2021-06-24 15:14:23,7.8,21
2021-06-24 15:14:22,2021-06-24 15:14:29,40:f5:20:5b:21:cc,2036-02-06 06:28:16,8.0,21
