,40:f5:20:5b:20:bc,40:f5:20:5b:20:c0,40:f5:20:5b:20:c4,40:f5:20:5b:20:d8,40:f5:20:5b:20:dc,40:f5:20:5b:20:e0,40:f5:20:5b:20:e4,40:f5:20:5b:20:e8,40:f5:20:5b:20:ec,40:f5:20:5b:20:f4,40:f5:20:5b:21:00,40:f5:20:5b:21:74,40:f5:20:5b:21:8c,40:f5:20:5b:21:94,40:f5:20:5b:21:9c,40:f5:20:5b:21:a4,40:f5:20:5b:21:c8,40:f5:20:5b:21:cc,40:f5:20:5b:21:d0,40:f5:20:5b:21:d8
intercept,-5.684341886080802e-14,3.8793891101276046,3.0377460590737826,4.203001335719847,3.4448301058749067,5.8359896000913025,1.7670563489239584,0.15880684183414928,2.701458256882887,3.3706777297308577,-1.9678306717410123,2.6619789795847666,6.8590105987036765,0.7786111494799144,1.1528299021504296,5.70744579148198,5.982579663211034,-0.36140379433554415,5.645840912132385,3.6062330593909735
slope,0.9999999999999998,0.9817453354415346,1.1049738103207116,1.177643324555362,0.9988544041917381,1.0040873088567925,0.968376009703343,1.0003865916878134,1.101876086677156,0.9376528478781314,0.8891067074981039,1.00316903628577,1.0223862852192493,0.9833281801685082,0.9933028772681389,1.1221164847654006,1.0778154023579707,0.9907609267061389,1.1699375728150891,1.1370567863062169
